model,feature_set,model_label,model_feature,policy,region,validation_threshold,validation_precision,validation_recall,validation_f1,validation_false_positive,validation_false_negative,validation_true_positive,validation_true_negative
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,region_f1_exploratory,South,0.55,0.4634146341463415,0.3877551020408163,0.4222222222222223,22.0,30.0,19.0,657.0
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,region_f1_exploratory,West,0.28,0.38461538461538464,0.4166666666666667,0.4,8.0,7.0,5.0,176.0
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,isotonic_global_f1,all,0.18000000000000002,0.35294117647058826,0.37012987012987014,0.3613312202852615,209.0,194.0,114.0,3431.0
dnn_no_class_weight,core_no_BUS,DNN core,dnn_no_class_weight__core_no_BUS,platt_global_f1,all,0.14,0.32216494845360827,0.40584415584415584,0.3591954022988506,263.0,183.0,125.0,3377.0
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,isotonic_global_f1,all,0.15000000000000002,0.2735632183908046,0.38636363636363635,0.3203230148048452,316.0,189.0,119.0,3324.0
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,platt_global_f1,all,0.12,0.27209302325581397,0.37987012987012986,0.3170731707317074,313.0,191.0,117.0,3327.0
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,isotonic_global_f1,all,0.13,0.23357664233576642,0.5194805194805194,0.32225579053373615,525.0,148.0,160.0,3115.0
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,platt_global_f1,all,0.14,0.2364217252396166,0.4805194805194805,0.316916488222698,478.0,160.0,148.0,3162.0
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,isotonic_global_f1,all,0.13,0.2296037296037296,0.6396103896103896,0.33790737564322476,661.0,111.0,197.0,2979.0
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,platt_global_f1,all,0.09999999999999999,0.2296037296037296,0.6396103896103896,0.33790737564322476,661.0,111.0,197.0,2979.0
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,isotonic_global_f1,all,0.14,0.2299771167048055,0.6525974025974026,0.3401015228426396,673.0,107.0,201.0,2967.0
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,platt_global_f1,all,0.09999999999999999,0.2300578034682081,0.6461038961038961,0.3393009377664109,666.0,109.0,199.0,2974.0
