province,top5_analog_provinces,top5_geographic_neighbors,analog_geo_overlap_count,analog_geo_overlap_rate,mean_analog_distance_km,same_region_rate,cross_region_rate
Phatthalung,Narathiwat|Krabi|Surat Thani|Trang|Satun,Krabi|Nakhon Si Thammarat|Satun|Songkhla|Trang,3,0.6,146.2097592024626,1.0,0.0
Phayao,Chiang Rai|Khon Kaen|Buri Ram|Si Sa Ket|Nakhon Ratchasima,Chiang Mai|Chiang Rai|Lampang|Nan|Phrae,1,0.2,448.9390155431162,0.2,0.8
Phetchabun,Kamphaeng Phet|Nakhon Sawan|Phitsanulok|Roi Et|Phichit,Chaiyaphum|Loei|Nakhon Sawan|Phichit|Phitsanulok,3,0.6,149.45060407067257,0.8,0.19999999999999996
Phetchaburi,Samut Prakarn|Prachuap Khiri Khan|Pathum Thani|Kanchanaburi|Samut Sakhon,Nakhon Pathom|Ratchaburi|Samut Prakarn|Samut Sakhon|Samut Songkhram,2,0.4,116.78628984776424,0.4,0.6
Phichit,Phitsanulok|Phetchabun|Sukhothai|Nakhon Sawan|Uthai Thani,Kamphaeng Phet|Nakhon Sawan|Phetchabun|Phitsanulok|Uthai Thani,4,0.8,89.34259383587123,1.0,0.0
Phitsanulok,Phichit|Phetchabun|Nakhon Sawan|Sukhothai|Uttaradit,Kamphaeng Phet|Phetchabun|Phichit|Sukhothai|Uttaradit,4,0.8,91.94809382401442,1.0,0.0
Phra Nakhon Si Ayutthaya,Saraburi|Ang Thong|Nonthaburi|Pathum Thani|Nakhon Pathom,Ang Thong|Nonthaburi|Pathum Thani|Saraburi|Suphan Buri,4,0.8,47.54888179182933,1.0,0.0
Phrae,Lampang|Uttaradit|Nan|Loei|Uthai Thani,Lampang|Lamphun|Nan|Sukhothai|Uttaradit,3,0.6,146.63157232037867,0.8,0.19999999999999996
Phuket,Phang-nga|Pattani|Chumphon|Narathiwat|Satun,Krabi|Nakhon Si Thammarat|Phang-nga|Surat Thani|Trang,1,0.2,268.4886576972341,1.0,0.0
Prachin Buri,Sa kaeo|Chanthaburi|Bueng Kan|Chachoengsao|Nong Bua Lam Phu,Chachoengsao|Nakhon Nayok|Pathum Thani|Sa kaeo|Saraburi,2,0.4,237.4384640205874,0.6,0.4
Prachuap Khiri Khan,Phetchaburi|Chai Nat|Kanchanaburi|Samut Songkhram|Pathum Thani,Chumphon|Phetchaburi|Ratchaburi|Samut Sakhon|Samut Songkhram,2,0.4,239.5901319120394,0.4,0.6
Ranong,Satun|Narathiwat|Krabi|Trang|Phang-nga,Chumphon|Krabi|Nakhon Si Thammarat|Phang-nga|Surat Thani,2,0.4,306.5638789009069,1.0,0.0
Ratchaburi,Samut Songkhram|Prachuap Khiri Khan|Chai Nat|Suphan Buri|Phetchaburi,Nakhon Pathom|Nonthaburi|Phetchaburi|Samut Sakhon|Samut Songkhram,2,0.4,112.23197496992425,0.4,0.6
Rayong,Chon Buri|Chachoengsao|Nakhon Nayok|Chiang Mai|Samut Prakarn,Chachoengsao|Chanthaburi|Chon Buri|Prachin Buri|Samut Prakarn,3,0.6,234.90613881237954,0.6,0.4
Roi Et,Amnat Charoen|Nakhon Phanom|Nong Khai|Yasothon|Phetchabun,Amnat Charoen|Kalasin|Maha Sarakham|Mukdahan|Yasothon,2,0.4,170.7417669519343,0.8,0.19999999999999996
Sa kaeo,Chanthaburi|Prachin Buri|Trat|Si Sa Ket|Surin,Chachoengsao|Chanthaburi|Nakhon Nayok|Prachin Buri|Rayong,2,0.4,168.27788698280943,0.6,0.4
Sakon Nakhon,Nong Bua Lam Phu|Udon Thani|Surin|Yasothon|Maha Sarakham,Bueng Kan|Kalasin|Nakhon Phanom|Nong Khai|Udon Thani,1,0.2,178.0445948477693,1.0,0.0
Samut Prakarn,Pathum Thani|Samut Sakhon|Phetchaburi|Nonthaburi|Bangkok,Bangkok|Chachoengsao|Nonthaburi|Pathum Thani|Samut Sakhon,4,0.8,51.605454723924574,0.8,0.19999999999999996
Samut Sakhon,Samut Prakarn|Pathum Thani|Bangkok|Phetchaburi|Nonthaburi,Bangkok|Nakhon Pathom|Nonthaburi|Ratchaburi|Samut Songkhram,2,0.4,53.680431489041226,0.8,0.19999999999999996
Samut Songkhram,Chai Nat|Prachuap Khiri Khan|Samut Sakhon|Pathum Thani|Chumphon,Nakhon Pathom|Nonthaburi|Phetchaburi|Ratchaburi|Samut Sakhon,1,0.2,170.74437505941768,0.6,0.4
Saraburi,Pathum Thani|Nonthaburi|Bangkok|Ang Thong|Samut Sakhon,Ang Thong|Lop Buri|Nakhon Nayok|Pathum Thani|Phra Nakhon Si Ayutthaya,2,0.4,86.32845244121395,1.0,0.0
Satun,Narathiwat|Ranong|Trang|Krabi|Surat Thani,Krabi|Phatthalung|Songkhla|Trang|Yala,2,0.4,229.10361661515375,1.0,0.0
Si Sa Ket,Ubon Ratchathani|Khon Kaen|Buri Ram|Surin|Nakhon Ratchasima,Amnat Charoen|Roi Et|Surin|Ubon Ratchathani|Yasothon,2,0.4,154.3168336172414,1.0,0.0
Sing Buri,Chai Nat|Bangkok|Pathum Thani|Saraburi|Lop Buri,Ang Thong|Chai Nat|Lop Buri|Phra Nakhon Si Ayutthaya|Suphan Buri,2,0.4,76.76542349607986,1.0,0.0
