model,feature_set,feature,importance
xgboost_core_no_BUS,core_no_BUS,province_Nonthaburi,0.0
xgboost_core_no_BUS,core_no_BUS,province_Pathum Thani,0.0
xgboost_core_no_BUS,core_no_BUS,province_Pattani,0.0
xgboost_core_no_BUS,core_no_BUS,province_Phang-nga,0.0
xgboost_core_no_BUS,core_no_BUS,province_Phatthalung,0.0
xgboost_core_no_BUS,core_no_BUS,province_Phetchaburi,0.0
xgboost_core_no_BUS,core_no_BUS,province_Phra Nakhon Si Ayutthaya,0.0
xgboost_core_no_BUS,core_no_BUS,province_Phuket,0.0
xgboost_core_no_BUS,core_no_BUS,province_Prachuap Khiri Khan,0.0
xgboost_core_no_BUS,core_no_BUS,province_Ranong,0.0
xgboost_core_no_BUS,core_no_BUS,province_Ratchaburi,0.0
xgboost_core_no_BUS,core_no_BUS,province_Sa kaeo,0.0
xgboost_core_no_BUS,core_no_BUS,province_Sakon Nakhon,0.0
xgboost_core_no_BUS,core_no_BUS,province_Samut Prakarn,0.0
xgboost_core_no_BUS,core_no_BUS,province_Samut Sakhon,0.0
xgboost_core_no_BUS,core_no_BUS,province_Samut Songkhram,0.0
xgboost_core_no_BUS,core_no_BUS,province_Satun,0.0
xgboost_core_no_BUS,core_no_BUS,province_Suphan Buri,0.0
xgboost_core_no_BUS,core_no_BUS,province_Surat Thani,0.0
xgboost_core_no_BUS,core_no_BUS,province_Trang,0.0
xgboost_core_no_BUS,core_no_BUS,province_Trat,0.0
xgboost_core_no_BUS,core_no_BUS,province_Ubon Ratchathani,0.0
xgboost_core_no_BUS,core_no_BUS,province_Yala,0.0
xgboost_core_no_BUS,core_no_BUS,province_Yasothon,0.0
