grouping,rows,bus_rows,bus_missing_rows,bus_missing_rate,bus_critical_weeks,target_known_rows,target_positive_rows,bus_rows_with_target,bus_rows_target_positive,current_label_positive_in_bus_rows,year,region,province
year_region,424,25,399,0.9410377358490566,2,416,65,25,16,16,2020.0,East,
year_region,901,70,831,0.9223085460599334,22,884,108,70,22,21,2020.0,North,
year_region,1060,132,928,0.8754716981132076,3,1040,211,132,52,51,2020.0,Northeast,
year_region,742,10,732,0.9865229110512129,1,728,38,10,1,1,2020.0,South,
year_region,212,7,205,0.9669811320754716,2,208,7,7,4,4,2020.0,West,
year_region,722,299,423,0.5858725761772853,1,708,1,296,0,0,2021.0,Central,
year_region,416,92,324,0.7788461538461539,10,408,25,92,10,10,2021.0,East,
year_region,893,360,533,0.5968645016797313,42,876,113,359,43,43,2021.0,North,
year_region,1052,312,740,0.7034220532319392,13,1032,108,312,63,63,2021.0,Northeast,
year_region,742,156,586,0.7897574123989218,21,728,49,156,9,9,2021.0,South,
year_region,200,49,151,0.755,7,196,12,48,3,3,2021.0,West,
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Amnat Charoen
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Ang Thong
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Bangkok
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Bueng Kan
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Buri Ram
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Chachoengsao
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Chai Nat
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Chaiyaphum
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Chanthaburi
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Chiang Mai
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Chiang Rai
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Chon Buri
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Chumphon
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Kalasin
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Kamphaeng Phet
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Kanchanaburi
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Khon Kaen
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Krabi
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Lampang
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Lamphun
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Loei
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Lop Buri
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Mae Hong Son
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Maha Sarakham
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Mukdahan
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Nakhon Nayok
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Nakhon Pathom
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Nakhon Phanom
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Nakhon Ratchasima
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Nakhon Sawan
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Nakhon Si Thammarat
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Nan
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Narathiwat
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Nong Bua Lam Phu
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Nong Khai
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Nonthaburi
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Pathum Thani
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Pattani
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Phang-nga
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Phatthalung
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Phayao
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Phetchabun
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Phetchaburi
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Phichit
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Phitsanulok
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Phra Nakhon Si Ayutthaya
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Phrae
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Phuket
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Prachin Buri
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Prachuap Khiri Khan
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Ranong
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Ratchaburi
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Rayong
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Roi Et
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Sa kaeo
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Sakon Nakhon
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Samut Prakarn
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Samut Sakhon
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Samut Songkhram
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Saraburi
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Satun
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Si Sa Ket
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Sing Buri
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Songkhla
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Sukhothai
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Suphan Buri
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Surat Thani
