year,season,variety,province_month_rows,provinces,total_area,mean_ratio,max_ratio
2019,offseason,ปทุมธานี1,304,59,1219375,0.1075741420000226,0.8254310344827587
2019,offseason,"พิษณุโลก2,60-2",236,43,728146,0.08345804195695428,0.5228070175438596
2019,offseason,สุพรรณบุรี1,214,38,440366,0.058188392953739024,0.5018022657054583
2019,offseason,กข10,129,29,345562,0.16020757897557492,0.6531821020609626
2019,offseason,"ชัยนาท1,2",245,50,341956,0.09918432157925079,0.6710323574730355
2019,offseason,"สุพรรณบุรี60,90",131,23,51171,0.020354165883818404,0.1716171617161716
2019,offseason,หอมสุพรรณบุรี,38,7,2579,0.003527349407880533,0.02691065662002153
2020,inseason,ขาวดอกมะลิ105,320,63,26157064,0.2455864879101271,0.9088699878493317
2020,inseason,กข6,190,40,14386340,0.2459559703341284,0.8191368999515113
2020,inseason,ราชการไม่ไวต่อช่วงแสง,373,75,13543594,0.38596630137146826,0.9830719583309744
2020,inseason,กข15,133,29,2222790,0.03348537557914894,0.23414449545058164
2020,inseason,ราชการไวต่อช่วงแสง,350,70,1840775,0.05751193035881555,0.3351063829787234
2020,inseason,ปทุมธานี1,286,54,1819991,0.12108961300493694,0.6844741235392321
2020,inseason,พันธุ์พื้นเมือง,343,70,1359424,0.09419859585891874,0.7424734676196665
2020,inseason,สุพรรณบุรี1,195,34,481790,0.04402318658761059,0.5498839907192575
2020,inseason,ชัยนาท1,193,35,338515,0.028591839225312766,0.36752136752136755
2020,inseason,"สุพรรณบุรี60,90",141,25,121696,0.0070231981072532736,0.033783783783783786
2020,inseason,หอมสุพรรณบุรี,45,8,18016,0.002172522864261961,0.010399123158767076
2020,offseason,กขไม่ไวต่อช่วงแสง,303,69,4310673,0.509713950955814,0.980796586059744
2020,offseason,ราชการไม่ไวต่อช่วงแสง,302,69,889869,0.18551336764701842,0.9795836669335468
2020,offseason,ปทุมธานี1,261,57,618119,0.12525579695269592,0.8267148014440433
2020,offseason,"พิษณุโลก2,60-2",202,42,407463,0.0683955055768378,0.30504587155963303
2020,offseason,กข10,121,29,280275,0.14390099286382815,0.6497686582176624
2020,offseason,สุพรรณบุรี1,177,36,258248,0.051142767502846374,0.6029900332225914
2020,offseason,"ชัยนาท1,2",209,48,182154,0.09985959541434276,0.6428571428571429
2020,offseason,"สุพรรณบุรี60,90",92,20,30037,0.017009622214664913,0.10283687943262411
2020,offseason,หอมสุพรรณบุรี,14,3,751,0.008867859281437353,0.030634573304157548
2021,inseason,ขาวดอกมะลิ105,319,63,26665493,0.25156420106677824,0.9224910749702498
2021,inseason,กข6,192,40,14323233,0.24608155221402972,0.8136333109469442
2021,inseason,ราชการไม่ไวต่อช่วงแสง,372,75,14110133,0.39277398046565676,0.9842360549717057
2021,inseason,กข15,134,29,2059343,0.029820810502219443,0.24875490741569362
