province,analog_province,analog_rank,combined_similarity,province_region,analog_region,same_region,distance_km,weather_similarity,host_similarity,pressure_similarity,outbreak_history_similarity
Nonthaburi,Saraburi,3,0.698206339150721,Central,Central,True,88.7259011897138,0.8072506587150459,0.5818160669731833,0.7612389295036831,0.6425197014109716
Nonthaburi,Samut Prakarn,4,0.6837536434006727,Central,Central,True,38.333563970685525,0.6303924927896305,0.632838451713486,0.7774671768669776,0.6943164522325964
Nonthaburi,Samut Sakhon,5,0.6821002339090835,Central,Central,True,41.077363066255984,0.7592855606252416,0.5620541029051606,0.7127448198733355,0.6943164522325964
Pathum Thani,Samut Prakarn,1,0.7473865652429955,Central,Central,True,47.72356669581488,0.6153629340591164,0.638432350067082,0.7357509768457836,1.0
Pathum Thani,Nonthaburi,2,0.7262633788282477,Central,Central,True,27.090032325572924,0.7556944873152286,0.774696123919748,0.6803464518454174,0.6943164522325964
Pathum Thani,Samut Sakhon,3,0.7114674378653205,Central,Central,True,67.69085428108416,0.6463154167876146,0.5578547257600803,0.6416996089135871,1.0
Pathum Thani,Phetchaburi,4,0.7023755613897782,Central,West,False,137.33142877425428,0.5719192625336742,0.5674759560931479,0.6701070269322907,1.0
Pathum Thani,Saraburi,5,0.702272509248221,Central,Central,True,63.16450818101509,0.795589392597513,0.6414425630234064,0.6447643208739575,0.7272937604980072
Pattani,Yala,1,0.8149049543068483,South,South,True,42.20893121932572,0.8774271939147182,0.8226495852709325,0.8288978853880128,0.7306451526537294
Pattani,Phang-nga,2,0.7438585477104143,South,South,True,400.5317908883358,0.6638703373478798,0.6296083956857252,0.6819554578080518,1.0
Pattani,Narathiwat,3,0.723196626852676,South,South,True,72.44804606412735,0.5525492951448727,0.5939012842981343,0.746335927967697,1.0
Pattani,Trang,4,0.7206560350252094,South,South,True,214.9376587525338,0.5863437212583207,0.5796856207329064,0.7165947981096102,1.0
Pattani,Chumphon,5,0.7075334889897065,South,South,True,464.07859433801457,0.642011511785432,0.6678682130962615,0.5202542310771322,1.0
Phang-nga,Pattani,1,0.7438585477104143,South,South,True,400.5317908883358,0.6638703373478798,0.6296083956857252,0.6819554578080518,1.0
Phang-nga,Narathiwat,2,0.70915355372795,South,South,True,468.80987994934657,0.6144767343250587,0.5469035591146083,0.6752339214721328,1.0
Phang-nga,Phuket,3,0.7020500077840746,South,South,True,86.06096294057829,0.5880509950434846,0.5317941830659098,0.6883548530269041,1.0
Phang-nga,Krabi,4,0.6821621456602677,South,South,True,102.28325474336268,0.49557493244005396,0.48071192780806465,0.7523617223929521,1.0
Phang-nga,Trang,5,0.6799563852870729,South,South,True,192.4167655931814,0.5807997364567499,0.5535414251844377,0.5854843795071041,1.0
Phatthalung,Narathiwat,1,0.6212847125883735,South,South,True,236.704972151727,0.6160033795241147,0.5736456059116252,0.723653003023869,0.5718368618938852
Phatthalung,Krabi,2,0.6177720129095323,South,South,True,134.91888504207543,0.6646513233318484,0.6453876910862931,0.5892121753261028,0.5718368618938852
Phatthalung,Surat Thani,3,0.617581418111967,South,South,True,200.39446629077776,0.6419509124968765,0.7144242231156488,0.5421136749414578,0.5718368618938852
Phatthalung,Trang,4,0.6138269227191235,South,South,True,57.00671088556605,0.5664535184924588,0.5497935313627502,0.7672237791273997,0.5718368618938852
Phatthalung,Satun,5,0.6118475740112799,South,South,True,102.02376164216685,0.5842264511958417,0.542185514428451,0.7491414685269415,0.5718368618938852
Phayao,Chiang Rai,1,0.6383936443637355,North,North,True,68.7200404339237,0.7803398979474936,0.6035295102108765,0.7007211913702343,0.4689839779263379
Phayao,Khon Kaen,2,0.6177445421590324,North,Northeast,False,420.80604265591626,0.5119449735090122,0.4705493533731568,0.48848384175396065,1.0
Phayao,Buri Ram,3,0.5299491912312456,North,Northeast,False,576.6228007622134,0.5575345701719676,0.5201513334515422,0.5084788822021675,0.533631979099305
Phayao,Si Sa Ket,4,0.5050744650904945,North,Northeast,False,660.6212261281469,0.5368609882637173,0.4876273966435072,0.4809398937924242,0.5148695816623291
Phayao,Nakhon Ratchasima,5,0.4929787620374478,North,Northeast,False,517.924967735381,0.5102775150921326,0.5075702272316981,0.5203046815773548,0.4337626242486056
Phetchabun,Kamphaeng Phet,1,0.7054921829627536,North,North,True,155.52005554624304,0.7011141119754407,0.7274425422753781,0.3934120776001956,1.0
Phetchabun,Nakhon Sawan,2,0.6812448731897549,North,North,True,118.30217036697536,0.6111660473419822,0.5745147723143331,0.7294568656315474,0.8098418074711571
Phetchabun,Phitsanulok,3,0.6243629323119854,North,North,True,102.86955206208972,0.6545351421363901,0.49283443406712013,0.867518123918895,0.4825640291255363
Phetchabun,Roi Et,4,0.5910775753658822,North,Northeast,False,289.8687480203903,0.5665223604685652,0.4111412683185156,0.38664667267644826,1.0
Phetchabun,Phichit,5,0.5908919661340994,North,North,True,80.69249435766454,0.5988282489424102,0.5180203348297672,0.7725341062241842,0.4741851745400365
Phetchaburi,Samut Prakarn,1,0.732195511739123,West,Central,False,105.216378121259,0.6148281869548693,0.6240114294944022,0.6899424305072203,1.0
Phetchaburi,Prachuap Khiri Khan,2,0.7203642628985731,West,West,True,131.62433472552794,0.6318560160776263,0.5824603688970122,0.667140666619654,1.0
Phetchaburi,Pathum Thani,3,0.7023755613897782,West,Central,False,137.33142877425428,0.5719192625336742,0.5674759560931479,0.6701070269322907,1.0
Phetchaburi,Kanchanaburi,4,0.6921685126314692,West,West,True,139.56919920025413,0.6467165153043319,0.41800865624521194,0.703948878976333,1.0
Phetchaburi,Samut Sakhon,5,0.6877516037424313,West,Central,False,70.19010841752586,0.5518713699868084,0.5150021089780825,0.684132936004834,1.0
Phichit,Phitsanulok,1,0.6359203469875179,North,North,True,68.72360499351477,0.7944530328337492,0.6019288318306903,0.7880799729712533,0.3592195503143787
Phichit,Phetchabun,2,0.5908919661340994,North,North,True,80.69249435766454,0.5988282489424102,0.5180203348297672,0.7725341062241842,0.4741851745400365
Phichit,Sukhothai,3,0.5752373745818504,North,North,True,115.44509430463276,0.724592598772228,0.7320103187173468,0.4649081672236347,0.37943841361419206
Phichit,Nakhon Sawan,4,0.574517383777931,North,North,True,66.8822654100627,0.5683176267577799,0.4895077806272054,0.7762627860995663,0.4639813416271725
Phichit,Uthai Thani,5,0.5552512945730637,North,North,True,114.9695101134814,0.5898447948094152,0.4581794953007925,0.7593693643371782,0.4136115238448689
Phitsanulok,Phichit,1,0.6359203469875179,North,North,True,68.72360499351477,0.7944530328337492,0.6019288318306903,0.7880799729712533,0.3592195503143787
Phitsanulok,Phetchabun,2,0.6243629323119854,North,North,True,102.86955206208972,0.6545351421363901,0.49283443406712013,0.867518123918895,0.4825640291255363
Phitsanulok,Nakhon Sawan,3,0.5577092564420738,North,North,True,134.7570167058528,0.5705318868864021,0.4455270996994427,0.747432883558334,0.4673451556241167
Phitsanulok,Sukhothai,4,0.529536410874391,North,North,True,68.83397940397185,0.7375345321299074,0.594352230912022,0.504903873506422,0.2813550069492121
Phitsanulok,Uttaradit,5,0.5183157364104298,North,North,True,84.55631595464291,0.6202923826259463,0.6459746037336531,0.42186962683762086,0.38512633244449923
Phra Nakhon Si Ayutthaya,Saraburi,1,0.6533286335756903,Central,Central,True,43.16544174003271,0.8122685509235013,0.7158336737279288,0.830307572618886,0.2549047370324453
Phra Nakhon Si Ayutthaya,Ang Thong,2,0.6138338249290928,Central,Central,True,30.673399443480243,0.9282744897774579,0.5917171437492109,0.7121796326692535,0.22316403352044897
Phra Nakhon Si Ayutthaya,Nonthaburi,3,0.6092670591382081,Central,Central,True,55.08872242613218,0.7491088722940109,0.542709815655547,0.8147627216744389,0.33048682692883563
Phra Nakhon Si Ayutthaya,Pathum Thani,4,0.6033843925101273,Central,Central,True,37.85485486332482,0.8917729232844347,0.6140301520745618,0.6692544747262069,0.2384800199553059
Phra Nakhon Si Ayutthaya,Nakhon Pathom,5,0.5987793185901964,Central,Central,True,70.96199048617673,0.6879678793745814,0.6652435216796222,0.801317499942704,0.24058837336387845
Phrae,Lampang,1,0.5934922930782235,North,North,True,66.31820170897483,0.6616451777210559,0.6682293103557921,0.5176622522093812,0.5264324320266646
Phrae,Uttaradit,2,0.5146011960464607,North,North,True,62.52010539367111,0.6932429659731602,0.3038593125161051,0.6550216536392937,0.40628085205728426
Phrae,Nan,3,0.5068533440556956,North,North,True,110.18948332909748,0.6738381085312568,0.8023065025139873,0.29430465232849823,0.25696411284904
Phrae,Loei,4,0.4960170864375565,North,Northeast,False,183.13765840129068,0.5581896004432144,0.7120669061075839,0.5060395748702272,0.20777226432920026
Phrae,Uthai Thani,5,0.4892457025049985,North,North,True,310.9924127688592,0.421933600334799,0.5056697605469735,0.5852257311830188,0.4441537179552027
Phuket,Phang-nga,1,0.7020500077840746,South,South,True,86.06096294057829,0.5880509950434846,0.5317941830659098,0.6883548530269041,1.0
Phuket,Pattani,2,0.6907953673952854,South,South,True,353.2704168177128,0.5763747146633853,0.5847949355207338,0.6020118193970223,1.0
Phuket,Chumphon,3,0.6751120436682427,South,South,True,286.4998066902062,0.5377062479118841,0.4796054373530023,0.6831364894080847,1.0
Phuket,Narathiwat,4,0.6680657306251705,South,South,True,416.38176744717714,0.4863529067271726,0.5264428510780931,0.659467164695416,1.0
Phuket,Satun,5,0.6602551546696298,South,South,True,200.23033459049603,0.5207566247400924,0.4472346820571769,0.6730293118812498,1.0
Prachin Buri,Sa kaeo,1,0.56324636320876,East,East,True,92.35029731668448,0.6941260810922677,0.4938879761347583,0.5545712157737256,0.5104001798342882
Prachin Buri,Chanthaburi,2,0.5325499341991571,East,East,True,159.5793458183291,0.5977172500246988,0.4626205218013089,0.6209277219194915,0.4489342430511294
Prachin Buri,Bueng Kan,3,0.45042773470840547,East,Northeast,False,516.2018583782436,0.3861868052812435,0.5350188368399607,0.5376313444287018,0.34287395228371587
Prachin Buri,Chachoengsao,4,0.4481042663184527,East,East,True,55.000512239723456,0.4258291974142959,0.14171144003348368,0.7585820819539428,0.4662943458720883
Prachin Buri,Nong Bua Lam Phu,5,0.43921971915938907,East,Northeast,False,364.06030634995625,0.21979713021119063,0.4816885024819815,0.6020153890355687,0.4533778549088155
Prachuap Khiri Khan,Phetchaburi,1,0.7203642628985731,West,West,True,131.62433472552794,0.6318560160776263,0.5824603688970122,0.667140666619654,1.0
Prachuap Khiri Khan,Chai Nat,2,0.6844651451885606,West,Central,False,366.5398815175108,0.5878014321561198,0.5719260553320168,0.578133093266106,1.0
