model,feature_set,model_label,model_feature,policy,split,rows,positive_rows,threshold,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,calibrator,bin,mean_score,observed_positive_rate
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,platt_reliability,validation,508,103,,,,,,,,,,,platt,"(0.1, 0.2]",0.1458169827078774,0.20275590551181102
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,platt_reliability,validation,229,68,,,,,,,,,,,platt,"(0.2, 0.3]",0.23904907167766914,0.29694323144104806
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,platt_reliability,validation,91,18,,,,,,,,,,,platt,"(0.3, 0.4]",0.3426909265227251,0.1978021978021978
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,platt_reliability,validation,30,8,,,,,,,,,,,platt,"(0.4, 0.5]",0.4355204043715517,0.26666666666666666
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,isotonic_global_f1,test,4004,161,0.14,0.2257142857142857,0.4906832298136646,0.30919765166340507,0.8258283593789143,0.24650406582133086,3572.0,271.0,82.0,79.0,,,,
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,isotonic_reliability,test,3628,82,,,,,,,,,,,isotonic,"(-0.001, 0.1]",0.03131783649979547,0.022601984564498346
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,isotonic_reliability,test,219,20,,,,,,,,,,,isotonic,"(0.1, 0.2]",0.1717418968115932,0.091324200913242
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,isotonic_reliability,test,157,59,,,,,,,,,,,isotonic,"(0.2, 0.3]",0.26514916473207173,0.37579617834394907
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,isotonic_reliability,validation,3036,102,,,,,,,,,,,isotonic,"(-0.001, 0.1]",0.03359683794466463,0.03359683794466403
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,isotonic_reliability,validation,421,73,,,,,,,,,,,isotonic,"(0.1, 0.2]",0.17339667458432267,0.17339667458432304
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,isotonic_reliability,validation,491,133,,,,,,,,,,,isotonic,"(0.2, 0.3]",0.2708757637474537,0.2708757637474542
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,platt_global_f1,test,4004,161,0.09999999999999999,0.23795180722891565,0.4906832298136646,0.32048681541582147,0.8325648149495007,0.2953072882093971,3590.0,253.0,82.0,79.0,,,,
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,platt_reliability,test,3672,82,,,,,,,,,,,platt,"(-0.001, 0.1]",0.04146656897924478,0.022331154684095862
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,platt_reliability,test,228,33,,,,,,,,,,,platt,"(0.1, 0.2]",0.14026952642402357,0.14473684210526316
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,platt_reliability,test,54,15,,,,,,,,,,,platt,"(0.2, 0.3]",0.22888030052391356,0.2777777777777778
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,platt_reliability,test,28,18,,,,,,,,,,,platt,"(0.3, 0.4]",0.3481453954177132,0.6428571428571429
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,platt_reliability,test,22,13,,,,,,,,,,,platt,"(0.4, 0.5]",0.43857082139437825,0.5909090909090909
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,platt_reliability,validation,3083,109,,,,,,,,,,,platt,"(-0.001, 0.1]",0.043139157676636675,0.035355173532273756
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,platt_reliability,validation,492,97,,,,,,,,,,,platt,"(0.1, 0.2]",0.14484976664398208,0.19715447154471544
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,platt_reliability,validation,252,76,,,,,,,,,,,platt,"(0.2, 0.3]",0.2391248428464085,0.30158730158730157
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,platt_reliability,validation,97,20,,,,,,,,,,,platt,"(0.3, 0.4]",0.3418488754354138,0.20618556701030927
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,platt_reliability,validation,24,6,,,,,,,,,,,platt,"(0.4, 0.5]",0.4298668983250518,0.25
