year,season,province,variety,area_old,area_updated,_merge,area_diff,area_abs_diff
2015,inseason,Chaiyaphum,ขาวดอกมะลิ105,21753836.0,712500.0,both,-21041336.0,21041336.0
2015,inseason,Chaiyaphum,คลองหลวง1,0.0,0.0,both,0.0,0.0
2015,inseason,Chaiyaphum,ชัยนาท1,0.0,0.0,both,0.0,0.0
2015,inseason,Chaiyaphum,ปทุมธานี1,0.0,0.0,both,0.0,0.0
2015,inseason,Chaiyaphum,พันธุ์พื้นเมือง,3741385.0,122541.0,both,-3618844.0,3618844.0
2015,inseason,Chaiyaphum,ราชการไม่ไวต่อช่วงแสง,520260.0,17040.0,both,-503220.0,503220.0
2015,inseason,Chaiyaphum,ราชการไวต่อช่วงแสง,1820392.0,59623.0,both,-1760769.0,1760769.0
2015,inseason,Chaiyaphum,สุพรรณบุรี1,0.0,0.0,both,0.0,0.0
2015,inseason,Chaiyaphum,"สุพรรณบุรี60,90",0.0,0.0,both,0.0,0.0
2015,inseason,Chaiyaphum,หอมสุพรรณบุรี,0.0,0.0,both,0.0,0.0
2015,inseason,Chanthaburi,กข15,0.0,0.0,both,0.0,0.0
2015,inseason,Chanthaburi,กข6,0.0,0.0,both,0.0,0.0
2015,inseason,Chanthaburi,ขาวดอกมะลิ105,367398.0,11982.0,both,-355416.0,355416.0
2015,inseason,Chanthaburi,คลองหลวง1,0.0,0.0,both,0.0,0.0
2015,inseason,Chanthaburi,ชัยนาท1,7512.0,245.0,both,-7267.0,7267.0
2015,inseason,Chanthaburi,ปทุมธานี1,26766.0,873.0,both,-25893.0,25893.0
2015,inseason,Chanthaburi,พันธุ์พื้นเมือง,161946.0,5281.0,both,-156665.0,156665.0
2015,inseason,Chanthaburi,ราชการไม่ไวต่อช่วงแสง,24007.0,783.0,both,-23224.0,23224.0
2015,inseason,Chanthaburi,ราชการไวต่อช่วงแสง,20174.0,658.0,both,-19516.0,19516.0
2015,inseason,Chanthaburi,สุพรรณบุรี1,0.0,0.0,both,0.0,0.0
2015,inseason,Chanthaburi,"สุพรรณบุรี60,90",0.0,0.0,both,0.0,0.0
2015,inseason,Chanthaburi,หอมสุพรรณบุรี,0.0,0.0,both,0.0,0.0
2015,inseason,Chiang Mai,กข15,79004.0,2563.0,both,-76441.0,76441.0
2015,inseason,Chiang Mai,กข6,5889159.0,191053.0,both,-5698106.0,5698106.0
2015,inseason,Chiang Mai,ขาวดอกมะลิ105,1304047.0,42305.0,both,-1261742.0,1261742.0
2015,inseason,Chiang Mai,คลองหลวง1,0.0,0.0,both,0.0,0.0
2015,inseason,Chiang Mai,ชัยนาท1,0.0,0.0,both,0.0,0.0
2015,inseason,Chiang Mai,ปทุมธานี1,130574.0,4236.0,both,-126338.0,126338.0
2015,inseason,Chiang Mai,พันธุ์พื้นเมือง,2770819.0,89889.0,both,-2680930.0,2680930.0
2015,inseason,Chiang Mai,ราชการไม่ไวต่อช่วงแสง,2785431.0,90363.0,both,-2695068.0,2695068.0
2015,inseason,Chiang Mai,ราชการไวต่อช่วงแสง,292960.0,9504.0,both,-283456.0,283456.0
2015,inseason,Chiang Mai,สุพรรณบุรี1,0.0,0.0,both,0.0,0.0
2015,inseason,Chiang Mai,"สุพรรณบุรี60,90",0.0,0.0,both,0.0,0.0
2015,inseason,Chiang Mai,หอมสุพรรณบุรี,0.0,0.0,both,0.0,0.0
2015,inseason,Chiang Rai,กข15,4188848.0,136097.0,both,-4052751.0,4052751.0
2015,inseason,Chiang Rai,กข6,22855640.0,742588.0,both,-22113052.0,22113052.0
2015,inseason,Chiang Rai,ขาวดอกมะลิ105,4833810.0,157052.0,both,-4676758.0,4676758.0
2015,inseason,Chiang Rai,คลองหลวง1,0.0,0.0,both,0.0,0.0
2015,inseason,Chiang Rai,ชัยนาท1,47214.0,1534.0,both,-45680.0,45680.0
2015,inseason,Chiang Rai,ปทุมธานี1,190919.0,6203.0,both,-184716.0,184716.0
2015,inseason,Chiang Rai,พันธุ์พื้นเมือง,1502509.0,48817.0,both,-1453692.0,1453692.0
2015,inseason,Chiang Rai,ราชการไม่ไวต่อช่วงแสง,1250188.0,40619.0,both,-1209569.0,1209569.0
