model,model_label,sequence_length,policy,split,rows,positive_rows,threshold,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,bin,mean_score,observed_positive_rate,calibrator
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,platt_global_f1,test,3927,160,0.22,0.29,0.3625,0.32222222222222224,0.7843973984603133,0.21565929061285688,3625.0,142.0,102.0,58.0,,,,
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,platt_reliability,test,3321,66,,,,,,,,,,,"(-0.001, 0.1]",0.03312333436522573,0.01987353206865402,platt
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,platt_reliability,test,362,29,,,,,,,,,,,"(0.1, 0.2]",0.14227287858375423,0.08011049723756906,platt
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,platt_reliability,test,223,56,,,,,,,,,,,"(0.2, 0.3]",0.25046952431057745,0.25112107623318386,platt
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,platt_reliability,test,21,9,,,,,,,,,,,"(0.3, 0.4]",0.3096682701571837,0.42857142857142855,platt
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,platt_reliability,validation,2882,102,,,,,,,,,,,"(-0.001, 0.1]",0.03448056186514318,0.03539208882720333,platt
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,platt_reliability,validation,527,53,,,,,,,,,,,"(0.1, 0.2]",0.14597080405010315,0.10056925996204934,platt
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,platt_reliability,validation,409,115,,,,,,,,,,,"(0.2, 0.3]",0.2479856918803226,0.28117359413202936,platt
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,platt_reliability,validation,53,24,,,,,,,,,,,"(0.3, 0.4]",0.30706045346241373,0.4528301886792453,platt
random_forest_core_no_BUS,Random Forest,0,isotonic_global_f1,test,4004,161,0.13,0.36496350364963503,0.3105590062111801,0.33557046979865773,0.7773300814742622,0.22114284038556106,3756.0,87.0,111.0,50.0,,,,
random_forest_core_no_BUS,Random Forest,0,isotonic_reliability,test,3722,97,,,,,,,,,,,"(-0.001, 0.1]",0.03315624943190278,0.026061257388500805,isotonic
random_forest_core_no_BUS,Random Forest,0,isotonic_reliability,test,170,21,,,,,,,,,,,"(0.1, 0.2]",0.12563642366522595,0.12352941176470589,isotonic
random_forest_core_no_BUS,Random Forest,0,isotonic_reliability,test,94,33,,,,,,,,,,,"(0.2, 0.3]",0.2390095989616612,0.35106382978723405,isotonic
random_forest_core_no_BUS,Random Forest,0,isotonic_reliability,test,18,10,,,,,,,,,,,"(0.3, 0.4]",0.38888888888888906,0.5555555555555556,isotonic
random_forest_core_no_BUS,Random Forest,0,isotonic_reliability,validation,2977,114,,,,,,,,,,,"(-0.001, 0.1]",0.03829358414511325,0.03829358414511253,isotonic
random_forest_core_no_BUS,Random Forest,0,isotonic_reliability,validation,388,52,,,,,,,,,,,"(0.1, 0.2]",0.13402061855670105,0.13402061855670103,isotonic
random_forest_core_no_BUS,Random Forest,0,isotonic_reliability,validation,565,135,,,,,,,,,,,"(0.2, 0.3]",0.23893805309734453,0.23893805309734514,isotonic
random_forest_core_no_BUS,Random Forest,0,isotonic_reliability,validation,18,7,,,,,,,,,,,"(0.3, 0.4]",0.38888888888888906,0.3888888888888889,isotonic
random_forest_core_no_BUS,Random Forest,0,platt_global_f1,test,4004,161,0.14,0.392,0.30434782608695654,0.34265734265734266,0.7886243116871361,0.24073598690125192,3767.0,76.0,112.0,49.0,,,,
random_forest_core_no_BUS,Random Forest,0,platt_reliability,test,3726,98,,,,,,,,,,,"(-0.001, 0.1]",0.04191163450033907,0.026301663982823402,platt
random_forest_core_no_BUS,Random Forest,0,platt_reliability,test,200,29,,,,,,,,,,,"(0.1, 0.2]",0.12431338618503862,0.145,platt
random_forest_core_no_BUS,Random Forest,0,platt_reliability,test,53,21,,,,,,,,,,,"(0.2, 0.3]",0.2528992273015891,0.39622641509433965,platt
random_forest_core_no_BUS,Random Forest,0,platt_reliability,test,23,13,,,,,,,,,,,"(0.3, 0.4]",0.35234300840686766,0.5652173913043478,platt
random_forest_core_no_BUS,Random Forest,0,platt_reliability,test,2,0,,,,,,,,,,,"(0.4, 0.5]",0.402002984543404,0.0,platt
random_forest_core_no_BUS,Random Forest,0,platt_reliability,validation,2980,116,,,,,,,,,,,"(-0.001, 0.1]",0.045196174071795575,0.038926174496644296,platt
random_forest_core_no_BUS,Random Forest,0,platt_reliability,validation,667,122,,,,,,,,,,,"(0.1, 0.2]",0.14342451577300094,0.18290854572713644,platt
random_forest_core_no_BUS,Random Forest,0,platt_reliability,validation,245,55,,,,,,,,,,,"(0.2, 0.3]",0.24179913190636912,0.22448979591836735,platt
random_forest_core_no_BUS,Random Forest,0,platt_reliability,validation,56,15,,,,,,,,,,,"(0.3, 0.4]",0.32877286991738747,0.26785714285714285,platt
