model,model_label,sequence_length,policy,split,rows,positive_rows,threshold,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,region
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,balanced_default,test_region_South,714,4,0.85,0.0,0.0,0.0,0.9355633802816901,0.056681293129312936,706,4,4,0,South
hybrid_dnn_tcn,Hybrid DNN TCN 2w,2,balanced_default,test_region_West,204,2,0.85,0.0,0.0,0.0,0.4034653465346535,0.012262312705771687,202,0,2,0,West
random_forest_core_no_BUS,Random Forest,0,global_f1,test_region_Central,728,10,0.52,0.0,0.0,0.0,0.7416434540389971,0.04277197549597929,708,10,10,0,Central
random_forest_core_no_BUS,Random Forest,0,global_f1,test_region_East,416,7,0.52,0.375,0.42857142857142855,0.39999999999999997,0.703807195249738,0.37245568867769074,404,5,4,3,East
random_forest_core_no_BUS,Random Forest,0,global_f1,test_region_North,884,18,0.52,0.0,0.0,0.0,0.5221324095458044,0.02364663071371244,866,0,18,0,North
random_forest_core_no_BUS,Random Forest,0,global_f1,test_region_Northeast,1040,120,0.52,0.4339622641509434,0.38333333333333336,0.40707964601769914,0.718179347826087,0.32356293953970205,860,60,74,46,Northeast
random_forest_core_no_BUS,Random Forest,0,global_f1,test_region_South,728,4,0.52,0.0,0.0,0.0,0.7907458563535912,0.01738394637491023,723,1,4,0,South
random_forest_core_no_BUS,Random Forest,0,global_f1,test_region_West,208,2,0.52,0.0,0.0,0.0,0.38349514563106796,0.011416361416361417,206,0,2,0,West
random_forest_core_no_BUS,Random Forest,0,high_precision,test_region_Central,728,10,0.5700000000000001,0.0,0.0,0.0,0.7416434540389971,0.04277197549597929,715,3,10,0,Central
random_forest_core_no_BUS,Random Forest,0,high_precision,test_region_East,416,7,0.5700000000000001,0.6666666666666666,0.2857142857142857,0.4,0.703807195249738,0.37245568867769074,408,1,5,2,East
random_forest_core_no_BUS,Random Forest,0,high_precision,test_region_North,884,18,0.5700000000000001,0.0,0.0,0.0,0.5221324095458044,0.02364663071371244,866,0,18,0,North
random_forest_core_no_BUS,Random Forest,0,high_precision,test_region_Northeast,1040,120,0.5700000000000001,0.4457831325301205,0.30833333333333335,0.3645320197044335,0.718179347826087,0.32356293953970205,874,46,83,37,Northeast
random_forest_core_no_BUS,Random Forest,0,high_precision,test_region_South,728,4,0.5700000000000001,0.0,0.0,0.0,0.7907458563535912,0.01738394637491023,723,1,4,0,South
random_forest_core_no_BUS,Random Forest,0,high_precision,test_region_West,208,2,0.5700000000000001,0.0,0.0,0.0,0.38349514563106796,0.011416361416361417,206,0,2,0,West
random_forest_core_no_BUS,Random Forest,0,high_recall,test_region_Central,728,10,0.16,0.03017241379310345,0.7,0.057851239669421496,0.7416434540389971,0.04277197549597929,493,225,3,7,Central
random_forest_core_no_BUS,Random Forest,0,high_recall,test_region_East,416,7,0.16,0.020242914979757085,0.7142857142857143,0.03937007874015748,0.703807195249738,0.37245568867769074,167,242,2,5,East
random_forest_core_no_BUS,Random Forest,0,high_recall,test_region_North,884,18,0.16,0.025793650793650792,0.7222222222222222,0.04980842911877394,0.5221324095458044,0.02364663071371244,375,491,5,13,North
random_forest_core_no_BUS,Random Forest,0,high_recall,test_region_Northeast,1040,120,0.16,0.13584905660377358,0.9,0.23606557377049178,0.718179347826087,0.32356293953970205,233,687,12,108,Northeast
random_forest_core_no_BUS,Random Forest,0,high_recall,test_region_South,728,4,0.16,0.01652892561983471,0.5,0.03200000000000001,0.7907458563535912,0.01738394637491023,605,119,2,2,South
random_forest_core_no_BUS,Random Forest,0,high_recall,test_region_West,208,2,0.16,0.0,0.0,0.0,0.38349514563106796,0.011416361416361417,182,24,2,0,West
random_forest_core_no_BUS,Random Forest,0,balanced_default,test_region_Central,728,10,0.59,0.0,0.0,0.0,0.7416434540389971,0.04277197549597929,717,1,10,0,Central
random_forest_core_no_BUS,Random Forest,0,balanced_default,test_region_East,416,7,0.59,1.0,0.14285714285714285,0.25,0.703807195249738,0.37245568867769074,409,0,6,1,East
random_forest_core_no_BUS,Random Forest,0,balanced_default,test_region_North,884,18,0.59,0.0,0.0,0.0,0.5221324095458044,0.02364663071371244,866,0,18,0,North
random_forest_core_no_BUS,Random Forest,0,balanced_default,test_region_Northeast,1040,120,0.59,0.43902439024390244,0.3,0.3564356435643565,0.718179347826087,0.32356293953970205,874,46,84,36,Northeast
random_forest_core_no_BUS,Random Forest,0,balanced_default,test_region_South,728,4,0.59,0.0,0.0,0.0,0.7907458563535912,0.01738394637491023,724,0,4,0,South
random_forest_core_no_BUS,Random Forest,0,balanced_default,test_region_West,208,2,0.59,0.0,0.0,0.0,0.38349514563106796,0.011416361416361417,206,0,2,0,West
