model,feature_set,model_label,model_feature,alert_tier,region,rows,positive_rows,observed_positive_rate
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,low_risk,West,190,2,0.010526315789473684
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,warning,Central,2,0,0.0
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,warning,East,2,1,0.5
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,warning,North,2,0,0.0
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,warning,Northeast,88,31,0.3522727272727273
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,warning,South,2,0,0.0
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,watch,Central,286,7,0.024475524475524476
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,watch,East,322,6,0.018633540372670808
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,watch,North,571,7,0.012259194395796848
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,watch,Northeast,729,59,0.08093278463648834
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,watch,South,188,4,0.02127659574468085
dnn_no_class_weight,core_plus_analog_history,DNN analog history,dnn_no_class_weight__core_plus_analog_history,watch,West,18,0,0.0
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,high_alert,Northeast,25,13,0.52
random_forest,core_no_BUS,RF core,random_forest__core_no_BUS,low_risk,Central,600,5,0.008333333333333333
