file_path,year,metadata_column,sample_unique_values,sample_unique_count
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Khon Kaen 2015-07-01.csv,2015,name,"16.35285,102.598805",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Khon Kaen 2015-07-01.csv,2015,resolvedAddress,"16.35285,102.598805",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lampang 2015-01-01.csv,2015,address,Lampang,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lampang 2015-01-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lampang 2015-01-01.csv,2015,latitude,18.34986458,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lampang 2015-01-01.csv,2015,longitude,99.50325,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lampang 2015-01-01.csv,2015,name,"18.34986458,99.50325",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lampang 2015-01-01.csv,2015,resolvedAddress,"18.34986458,99.50325",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lamphun 2015-07-01.csv,2015,address,Lamphun,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lamphun 2015-07-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lamphun 2015-07-01.csv,2015,latitude,18.36132,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lamphun 2015-07-01.csv,2015,longitude,98.96236,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lamphun 2015-07-01.csv,2015,name,"18.36132,98.96236",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lamphun 2015-07-01.csv,2015,resolvedAddress,"18.36132,98.96236",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lop Buri 2015-01-01.csv,2015,address,Lop Buri,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lop Buri 2015-01-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lop Buri 2015-01-01.csv,2015,latitude,15.02860833,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lop Buri 2015-01-01.csv,2015,longitude,100.7969417,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lop Buri 2015-01-01.csv,2015,name,"15.02860833,100.7969417",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Lop Buri 2015-01-01.csv,2015,resolvedAddress,"15.02860833,100.7969417",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Mae Hong Son 2015-07-01.csv,2015,address,Mae Hong Son,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Mae Hong Son 2015-07-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Mae Hong Son 2015-07-01.csv,2015,latitude,18.766,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Mae Hong Son 2015-07-01.csv,2015,longitude,98.06297674,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Mae Hong Son 2015-07-01.csv,2015,name,"18.766,98.06297674",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Mae Hong Son 2015-07-01.csv,2015,resolvedAddress,"18.766,98.06297674",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Mukdahan 2015-01-01.csv,2015,address,Mukdahan,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Mukdahan 2015-01-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Mukdahan 2015-01-01.csv,2015,latitude,16.53405769,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Mukdahan 2015-01-01.csv,2015,longitude,104.5682885,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Mukdahan 2015-01-01.csv,2015,name,"16.53405769,104.5682885",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Mukdahan 2015-01-01.csv,2015,resolvedAddress,"16.53405769,104.5682885",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nakhon Nayok 2015-07-01.csv,2015,address,Nakhon Nayok,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nakhon Nayok 2015-07-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nakhon Nayok 2015-07-01.csv,2015,latitude,14.18082927,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nakhon Nayok 2015-07-01.csv,2015,longitude,101.1229756,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nakhon Nayok 2015-07-01.csv,2015,name,"14.18082927,101.1229756",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nakhon Nayok 2015-07-01.csv,2015,resolvedAddress,"14.18082927,101.1229756",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nakhon Phanom 2015-01-01.csv,2015,address,Nakhon Phanom,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nakhon Phanom 2015-01-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nakhon Phanom 2015-01-01.csv,2015,latitude,17.31057447,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nakhon Phanom 2015-01-01.csv,2015,longitude,104.4821915,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nakhon Phanom 2015-01-01.csv,2015,name,"17.31057447,104.4821915",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nakhon Phanom 2015-01-01.csv,2015,resolvedAddress,"17.31057447,104.4821915",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nakhon Ratchasima 2015-07-01.csv,2015,address,Nakhon Ratchasima,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nakhon Ratchasima 2015-07-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nakhon Ratchasima 2015-07-01.csv,2015,latitude,15.08644014,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nakhon Ratchasima 2015-07-01.csv,2015,longitude,102.1976901,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nakhon Ratchasima 2015-07-01.csv,2015,name,"15.08644014,102.1976901",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nakhon Ratchasima 2015-07-01.csv,2015,resolvedAddress,"15.08644014,102.1976901",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nakhon Si Thammarat 2015-01-01.csv,2015,address,Nakhon Si Thammarat,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nakhon Si Thammarat 2015-01-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nakhon Si Thammarat 2015-01-01.csv,2015,latitude,8.34487574,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nakhon Si Thammarat 2015-01-01.csv,2015,longitude,99.86193491,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nakhon Si Thammarat 2015-01-01.csv,2015,name,"8.34487574,99.86193491",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nakhon Si Thammarat 2015-01-01.csv,2015,resolvedAddress,"8.34487574,99.86193491",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nan 2015-07-01.csv,2015,address,Nan,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nan 2015-07-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nan 2015-07-01.csv,2015,latitude,18.8794898,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nan 2015-07-01.csv,2015,longitude,100.8094286,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nan 2015-07-01.csv,2015,name,"18.8794898,100.8094286",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nan 2015-07-01.csv,2015,resolvedAddress,"18.8794898,100.8094286",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nong Bua Lam Phu 2015-01-01.csv,2015,address,Nong Bua Lam Phu,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nong Bua Lam Phu 2015-01-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nong Bua Lam Phu 2015-01-01.csv,2015,latitude,17.18251724,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nong Bua Lam Phu 2015-01-01.csv,2015,longitude,102.3142586,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nong Bua Lam Phu 2015-01-01.csv,2015,name,"17.18251724,102.3142586",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nong Bua Lam Phu 2015-01-01.csv,2015,resolvedAddress,"17.18251724,102.3142586",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nong Khai 2015-07-01.csv,2015,address,Nong Khai,1
