model,feature_set,model_label,model_feature,policy,split,rows,positive_rows,threshold,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,region
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,balanced_default,test_region_Central,728,10,0.54,0.16666666666666666,0.1,0.125,0.7214484679665739,0.08148980903039951,713,5,9,1,Central
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,balanced_default,test_region_East,416,7,0.54,0.375,0.42857142857142855,0.39999999999999997,0.7586447782046803,0.18468075386076466,404,5,4,3,East
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,balanced_default,test_region_North,884,18,0.54,0.0,0.0,0.0,0.5394534257120862,0.022932103798611426,866,0,18,0,North
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,balanced_default,test_region_Northeast,1040,120,0.54,0.4125874125874126,0.49166666666666664,0.4486692015209126,0.783233695652174,0.39440251108815494,836,84,61,59,Northeast
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,balanced_default,test_region_South,728,4,0.54,0.0,0.0,0.0,0.8805248618784531,0.028093156843156844,723,1,4,0,South
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,balanced_default,test_region_West,208,2,0.54,0.0,0.0,0.0,0.3131067961165048,0.010310290652003142,206,0,2,0,West
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,high_precision,test_region_Central,728,10,0.6,0.0,0.0,0.0,0.7214484679665739,0.08148980903039951,716,2,10,0,Central
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,high_precision,test_region_East,416,7,0.6,0.0,0.0,0.0,0.7586447782046803,0.18468075386076466,408,1,7,0,East
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,high_precision,test_region_North,884,18,0.6,0.0,0.0,0.0,0.5394534257120862,0.022932103798611426,866,0,18,0,North
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,high_precision,test_region_Northeast,1040,120,0.6,0.4725274725274725,0.35833333333333334,0.40758293838862564,0.783233695652174,0.39440251108815494,872,48,77,43,Northeast
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,high_precision,test_region_South,728,4,0.6,0.0,0.0,0.0,0.8805248618784531,0.028093156843156844,723,1,4,0,South
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,high_precision,test_region_West,208,2,0.6,0.0,0.0,0.0,0.3131067961165048,0.010310290652003142,206,0,2,0,West
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,high_recall,test_region_Central,728,10,0.09999999999999999,0.022727272727272728,0.7,0.0440251572327044,0.7214484679665739,0.08148980903039951,417,301,3,7,Central
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,high_recall,test_region_East,416,7,0.09999999999999999,0.022222222222222223,1.0,0.04347826086956522,0.7586447782046803,0.18468075386076466,101,308,0,7,East
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,high_recall,test_region_North,884,18,0.09999999999999999,0.021592442645074223,0.8888888888888888,0.04216073781291173,0.5394534257120862,0.022932103798611426,141,725,2,16,North
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,high_recall,test_region_Northeast,1040,120,0.09999999999999999,0.12700106723585913,0.9916666666666667,0.22516556291390732,0.783233695652174,0.39440251108815494,102,818,1,119,Northeast
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,high_recall,test_region_South,728,4,0.09999999999999999,0.020689655172413793,0.75,0.040268456375838924,0.8805248618784531,0.028093156843156844,582,142,1,3,South
random_forest,core_plus_all_analog,RF all analog,random_forest__core_plus_all_analog,high_recall,test_region_West,208,2,0.09999999999999999,0.0,0.0,0.0,0.3131067961165048,0.010310290652003142,166,40,2,0,West
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,global_f1,test_region_Central,728,10,0.4,0.07692307692307693,0.2,0.1111111111111111,0.7162952646239554,0.07911458000171628,694,24,8,2,Central
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,global_f1,test_region_East,416,7,0.4,0.075,0.42857142857142855,0.1276595744680851,0.7460705553615089,0.16336461413833825,372,37,4,3,East
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,global_f1,test_region_North,884,18,0.4,0.0,0.0,0.0,0.562997177315884,0.02464606539174944,830,36,18,0,North
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,global_f1,test_region_Northeast,1040,120,0.4,0.32456140350877194,0.6166666666666667,0.4252873563218391,0.7845289855072464,0.38682851002217855,766,154,46,74,Northeast
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,global_f1,test_region_South,728,4,0.4,0.0,0.0,0.0,0.9109116022099447,0.03914953580901857,713,11,4,0,South
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,global_f1,test_region_West,208,2,0.4,0.0,0.0,0.0,0.3349514563106796,0.010684430512016719,206,0,2,0,West
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,balanced_default,test_region_Central,728,10,0.5800000000000001,0.0,0.0,0.0,0.7162952646239554,0.07911458000171628,716,2,10,0,Central
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,balanced_default,test_region_East,416,7,0.5800000000000001,0.3333333333333333,0.2857142857142857,0.30769230769230765,0.7460705553615089,0.16336461413833825,405,4,5,2,East
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,balanced_default,test_region_North,884,18,0.5800000000000001,0.0,0.0,0.0,0.562997177315884,0.02464606539174944,866,0,18,0,North
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,balanced_default,test_region_Northeast,1040,120,0.5800000000000001,0.4260869565217391,0.4083333333333333,0.41702127659574467,0.7845289855072464,0.38682851002217855,854,66,71,49,Northeast
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,balanced_default,test_region_South,728,4,0.5800000000000001,0.0,0.0,0.0,0.9109116022099447,0.03914953580901857,723,1,4,0,South
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,balanced_default,test_region_West,208,2,0.5800000000000001,0.0,0.0,0.0,0.3349514563106796,0.010684430512016719,206,0,2,0,West
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,high_precision,test_region_Central,728,10,0.62,0.0,0.0,0.0,0.7162952646239554,0.07911458000171628,717,1,10,0,Central
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,high_precision,test_region_East,416,7,0.62,0.0,0.0,0.0,0.7460705553615089,0.16336461413833825,407,2,7,0,East
